fullpath,iliac_artery_left,iliac_artery_right,pulmonary_artery,aorta,kidney_left,kidney_right,heart_myocardium,heart_atrium_left,heart_atrium_right,heart_ventricle_left,heart_ventricle_right,portal_vein_and_splenic_vein,liver,urinary_bladder,inferior_vena_cava,iliac_vena_left,iliac_vena_right,iliac_artery_left.1,iliac_artery_right.1,pulmonary_artery.1,aorta.1,kidney_left.1,kidney_right.1,heart_myocardium.1,heart_atrium_left.1,heart_atrium_right.1,heart_ventricle_left.1,heart_ventricle_right.1,portal_vein_and_splenic_vein.1,liver.1,urinary_bladder.1,inferior_vena_cava.1,iliac_vena_left.1,iliac_vena_right.1,GT
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00001_16_5X5_AXIAL_Body_5__resized.nii.gz,220.7,242.38,154.84,349.92,113.71,115.83,124.47,296.46,132.62,275.91,133.67,166.07,69.87,34.96,61.43,47.82,53.7,77.62970482,73.56771326,20.97658247,69.30738859,29.39185056,27.59413593,48.03336922,37.82865231,29.03597209,66.59244602,32.3008985,40.66492253,14.42120963,32.65570156,22.25518657,24.76546671,22.353172,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00001_17_2X1_LUNG_Lung_2__resized.nii.gz,292.07,304.55,162.48,352.52,122.07,125.79,124.89,295.65,139.42,272,138.26,194.88,70.91,27.42,63.48,52.51,55.7,100.0447779,85.26595193,28.83837357,86.19352559,44.69843488,41.94581134,53.9960678,39.16339479,37.75891617,72.34958008,43.54928968,63.83639584,27.90630507,83.25651486,34.26288293,30.6009109,26.57039144,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00001_19_2X1_STND_Body_2__resized.nii.gz,290.5,303.95,159.56,364.07,119.94,123.97,125.24,306.39,136.21,281.15,136.12,192.09,69.92,27.89,61.22,49.6,52.75,97.41235527,83.7064525,22.35509429,81.47882861,37.11479815,36.28631528,48.89407263,33.88496221,30.65679001,73.35650561,37.09570513,56.94526289,18.9460281,72.64908472,26.12285044,24.69114903,20.2126941,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00002_5_AXIAL_2X1_CTA_2__resized.nii.gz,300.52,318.52,142.78,489.55,87.22,92.31,135.09,470.87,77.32,491.13,110.4,34.34,42.4,18.114,39.19,41.2,43.83,73.45384988,81.18382901,42.47930315,112.3644031,43.16573061,39.53524874,133.9013177,96.75855757,236.6107182,166.4385787,52.4504957,32.11358049,18.92029175,27.55229845,21.46211456,25.92737852,53.23194308,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00004_17_2X1_LUNG_Lung_2__resized.nii.gz,313.81,300.7,206.19,420.13,107.1,94.3,87.15,423.37,141.97,253.17,126.57,99.73,64.07,23.31,52.62,39.43,33.99,119.365427,109.1290668,36.79116807,140.2211464,56.12303433,64.22666554,79.61785533,43.59395345,64.57245057,116.2842026,63.57714138,49.29488054,27.60871236,38.39481219,32.92134607,43.02404486,32.14789185,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00007_15_5X5_AXIAL_Body_5__resized.nii.gz,274.51,261.51,121.34,365.52,137.97,137.11,87.12,277.32,68.72,262.15,97.9,127.1,72.68,14.72,66.79,42.72,43.88,108.4959673,102.7027096,37.81238576,77.8493286,59.63525366,57.25270948,77.47233779,81.57500649,134.9485882,73.17771289,53.09847835,52.59106343,20.9435956,18.49815875,36.01284535,33.70043247,29.58753665,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00007_16_2X1_LUNG_Lung_2__resized.nii.gz,347.62,348.96,141.96,370.42,162.2,159.77,93.72,283.53,85.13,260.14,103.14,166.66,75.65,14.44,71.34,46.23,42.93,136.625754,133.4033655,38.75715731,93.44219916,85.05294397,81.97979778,85.89432014,82.6753352,130.9252502,81.42663328,61.65729231,91.77916175,32.62210096,30.51330565,47.64319621,37.36933486,32.00567105,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00008_15_5X5_AXIAL_Body_5__resized.nii.gz,277.13,280.52,154.8,403.28,127.19,133.39,145.44,393.44,122.32,384.63,149.21,104.68,74.03,21.03,61.48,40.6,41.89,91.27443969,90.81900057,26.31870336,88.32298081,52.73604773,50.90447537,96.37802303,49.15131962,61.37510753,105.5507542,25.14632517,39.31222227,19.42785503,25.0976203,28.55924688,33.27556829,34.6096127,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00008_18_2X1_STND_Body_2__resized.nii.gz,351.1,355.07,160.8,424.07,146.9,153.12,140.66,411.39,127.48,392.1,150.19,149.13,75.11,23.31,61.74,41.84,40.42,100.3663755,95.24966497,22.75045231,93.34920622,66.16538847,64.41589828,100.8897666,38.09848802,52.99391259,133.0739585,27.17462535,60.27652354,22.45486248,28.48747738,32.59891186,31.53457227,26.92670101,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00014_16_5X5_AXIAL_Body_5__resized.nii.gz,311.29,311.17,132.57,334.68,138.67,145.84,104.19,237.11,131.26,216.63,134.38,116.91,71.85,14.5,95.71,52.1,50.16,111.2568117,92.73878293,23.16643749,69.52661894,44.20917388,43.92963138,64.87454907,41.45995844,58.7193142,54.60879077,31.58117517,30.55562323,15.26370675,20.00020454,31.06395392,30.88215294,35.08353417,1
