sample_id,prediction,label
6,1,1
10,1,1
15,3,1
16,1,1
18,1,1
19,1,1
22,1,1
30,1,1
31,1,1
37,1,1
55,1,1
56,1,1
59,4,4
66,4,4
67,4,4
68,4,4
69,4,4
72,4,4
75,3,4
79,4,4
92,4,4
94,4,4
96,4,4
97,4,4
101,4,4
109,4,4
114,3,3
118,3,3
124,3,3
126,3,3
143,2,3
144,3,3
145,3,3
148,2,3
155,0,0
157,0,0
164,0,0
177,0,0
181,0,0
185,0,0
193,0,0
194,0,0
199,0,0
208,2,2
209,2,2
210,2,2
213,2,2
227,2,2
234,2,2
247,2,2
248,2,2
250,1,2
255,1,1
258,1,1
268,3,4
275,4,4
285,3,3
289,3,3
294,0,0
298,0,0
299,0,0
301,0,0
313,2,2
