sample_id,prediction,label
0,1,1
4,1,1
8,1,1
11,1,1
14,1,1
23,1,1
26,1,1
27,1,1
32,1,1
36,1,1
40,1,1
41,1,1
44,1,1
47,2,1
61,4,4
62,3,4
64,4,4
70,4,4
81,4,4
89,4,4
98,4,4
100,4,4
103,4,4
110,4,4
122,3,3
123,3,3
128,3,3
135,3,3
136,3,3
138,3,3
141,3,3
150,3,3
153,3,3
156,0,0
162,0,0
171,0,0
178,0,0
192,0,0
200,0,0
215,2,2
216,4,2
222,2,2
224,2,2
226,2,2
230,2,2
232,2,2
236,2,2
240,2,2
242,2,2
244,2,2
260,1,1
269,4,4
271,4,4
274,4,4
278,3,3
282,3,3
283,3,3
287,3,3
290,3,3
295,0,0
306,2,2
309,2,2
312,2,2
